"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test GET request with access_token query parameter.","4","Get users list with query param auth","tests","Fri Nov 28 14:43:51 UTC 2025","passed","Fri Nov 28 14:43:51 UTC 2025","TestQueryParameterAuth","test_authentication","",""
"Verify both authentication methods return successful responses.","2","Both auth methods should return successful response","tests","Fri Nov 28 14:43:52 UTC 2025","passed","Fri Nov 28 14:43:52 UTC 2025","TestAuthenticationComparison","test_authentication","",""
"","0","Create a user todo - negative test - missing required fields","tests","Fri Nov 28 14:43:58 UTC 2025","passed","Fri Nov 28 14:43:58 UTC 2025","TestTodos","test_todos","",""
"","1","Update user - user not found","tests","Fri Nov 28 14:44:05 UTC 2025","passed","Fri Nov 28 14:44:05 UTC 2025","TestUsers","test_users","",""
"","1","Get user by ID - user not found","tests","Fri Nov 28 14:44:03 UTC 2025","passed","Fri Nov 28 14:44:03 UTC 2025","TestUsers","test_users","",""
"","1","Create user with SQL injection attempt","tests","Fri Nov 28 14:44:14 UTC 2025","passed","Fri Nov 28 14:44:14 UTC 2025","TestUsers","test_users","",""
"","3","Create todo for user","tests","Fri Nov 28 14:43:58 UTC 2025","passed","Fri Nov 28 14:43:58 UTC 2025","TestTodos","test_todos","",""
"","4","Get users list","tests","Fri Nov 28 14:44:00 UTC 2025","passed","Fri Nov 28 14:44:00 UTC 2025","TestUsers","test_users","",""
"","2","Update user with SQL injection attempt","tests","Fri Nov 28 14:44:16 UTC 2025","passed","Fri Nov 28 14:44:16 UTC 2025","TestUsers","test_users","",""
"","1","Delete user - user not found","tests","Fri Nov 28 14:44:08 UTC 2025","passed","Fri Nov 28 14:44:08 UTC 2025","TestUsers","test_users","",""
"","1","Delete user - positive","tests","Fri Nov 28 14:44:06 UTC 2025","passed","Fri Nov 28 14:44:06 UTC 2025","TestUsers","test_users","",""
