"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Create user with overflow payload","tests","Fri Nov 28 14:55:30 UTC 2025","passed","Fri Nov 28 14:55:30 UTC 2025","TestUsers","test_users","",""
"","1","Create user - negative","tests","Fri Nov 28 14:55:22 UTC 2025","passed","Fri Nov 28 14:55:22 UTC 2025","TestUsers","test_users","",""
"","2","Update user with SQL injection attempt","tests","Fri Nov 28 14:55:37 UTC 2025","passed","Fri Nov 28 14:55:37 UTC 2025","TestUsers","test_users","",""
"","4","Update user - positive","tests","Fri Nov 28 14:55:25 UTC 2025","passed","Fri Nov 28 14:55:25 UTC 2025","TestUsers","test_users","",""
"","1","Get user with SQL injection in ID","tests","Fri Nov 28 14:55:40 UTC 2025","passed","Fri Nov 28 14:55:40 UTC 2025","TestUsers","test_users","",""
"","2","Update user with SQL injection attempt","tests","Fri Nov 28 14:55:37 UTC 2025","passed","Fri Nov 28 14:55:37 UTC 2025","TestUsers","test_users","",""
"","5","Delete updated user","tests","Fri Nov 28 14:55:28 UTC 2025","passed","Fri Nov 28 14:55:28 UTC 2025","TestUsers","test_users","",""
"","1","Create user with SQL injection attempt","tests","Fri Nov 28 14:55:34 UTC 2025","passed","Fri Nov 28 14:55:34 UTC 2025","TestUsers","test_users","",""
"","1","Create a user todo - negative test - missing required fields","tests","Fri Nov 28 14:55:19 UTC 2025","passed","Fri Nov 28 14:55:19 UTC 2025","TestTodos","test_todos","",""
"","1","Update user - user not found","tests","Fri Nov 28 14:55:27 UTC 2025","passed","Fri Nov 28 14:55:27 UTC 2025","TestUsers","test_users","",""
"","1","Delete user - user not found","tests","Fri Nov 28 14:55:28 UTC 2025","passed","Fri Nov 28 14:55:28 UTC 2025","TestUsers","test_users","",""
"","4","Get posts list for user","tests","Fri Nov 28 14:55:14 UTC 2025","passed","Fri Nov 28 14:55:14 UTC 2025","TestPosts","test_posts","",""
"Test GET request with Authorization Bearer header.","5","Get users list with bearer token auth","tests","Fri Nov 28 14:55:11 UTC 2025","passed","Fri Nov 28 14:55:11 UTC 2025","TestBearerTokenAuth","test_authentication","",""
"","1","Get user by ID - user not found","tests","Fri Nov 28 14:55:25 UTC 2025","passed","Fri Nov 28 14:55:25 UTC 2025","TestUsers","test_users","",""
"Verify both authentication methods return successful responses.","2","Both auth methods should return successful response","tests","Fri Nov 28 14:55:13 UTC 2025","passed","Fri Nov 28 14:55:13 UTC 2025","TestAuthenticationComparison","test_authentication","",""
"","2","Create user with overflow payload","tests","Fri Nov 28 14:55:31 UTC 2025","passed","Fri Nov 28 14:55:31 UTC 2025","TestUsers","test_users","",""
"","1","Update user - user not found","tests","Fri Nov 28 14:55:26 UTC 2025","passed","Fri Nov 28 14:55:26 UTC 2025","TestUsers","test_users","",""
"","2","Create user with SQL injection attempt","tests","Fri Nov 28 14:55:35 UTC 2025","passed","Fri Nov 28 14:55:35 UTC 2025","TestUsers","test_users","",""
"","5","Get users list","tests","Fri Nov 28 14:55:20 UTC 2025","passed","Fri Nov 28 14:55:20 UTC 2025","TestUsers","test_users","",""
